600,7,n
1000,9,n
1600,4,y
1200,4,n
1400,-1,y
1400,-1,y
400,-7,n
1000,-4,n
2000,8,n
800,-5,n
800,-5,n
400,4,n
1200,1,y
1000,7,n
200,2,n
1800,5,y
1400,1,y
600,6,n
800,-10,n
400,-8,n
200,-3,n
400,-3,n
1000,4,n
1600,-7,n
600,-3,y
400,-9,n
400,-1,y
2000,4,y
200,-8,n
1400,-8,n
400,7,n
1400,-10,n
600,-7,n
400,-4,n
1200,7,n
400,-8,n
1000,0,y
800,3,n
200,-8,n
1600,0,y
1000,4,n
1200,-1,y
800,2,n
800,8,n
200,3,n
200,9,n
1200,-7,n
1000,4,y
1800,5,n
800,-7,n
