400,-10,n
1600,7,n
1800,-10,n
200,-9,n
600,1,n
1400,2,y
600,5,y
1000,-4,n
200,0,y
400,-7,n
800,-7,n
1600,6,y
1200,3,y
1200,3,y
1200,-7,n
800,6,n
400,6,n
800,2,y
2000,-8,y
1800,-2,y
600,9,n
1000,-5,n
1800,-10,n
200,7,n
200,1,y
1000,-10,n
1600,-5,n
1400,-1,y
600,8,n
1800,5,y
400,-1,y
1800,1,y
400,9,n
2000,4,y
1000,-5,n
400,-9,n
1600,-7,n
1400,3,n
600,2,n
600,7,n
1000,-5,n
1000,0,y
800,-9,n
1600,-6,n
1800,-5,y
200,6,n
1400,-7,n
1600,5,n
800,6,n
600,-7,n
