200,8,n
2000,2,y
200,-4,n
1000,-5,n
600,-3,n
600,-8,n
200,7,n
200,3,n
2000,-4,y
1600,-8,n
1800,-8,y
600,3,n
1400,-5,n
1800,2,n
1800,7,n
600,-3,n
1800,-3,y
400,1,y
1000,3,n
1000,3,y
2000,9,y
200,-8,n
400,4,n
1000,-1,y
800,-6,n
800,-1,y
200,-1,n
1400,-4,n
1400,-9,n
600,-5,n
800,8,n
200,2,n
200,-5,n
2000,-1,y
200,0,n
1000,-3,n
1600,-4,n
1000,-8,n
800,-9,n
400,5,n
1000,0,y
600,-4,n
2000,5,y
800,-10,n
1200,-2,y
1400,-7,n
1000,-3,n
2000,-2,y
600,-5,n
600,4,n
