600,-1,y
1800,-10,n
400,6,n
400,4,y
1200,9,n
2000,-8,y
200,-9,n
200,3,n
1800,5,y
200,-7,n
1800,-3,y
1200,-10,n
1400,3,y
1600,6,n
400,1,y
1600,3,y
400,-6,n
1200,6,n
1600,-9,n
800,-9,n
400,7,n
1800,4,y
400,-3,n
400,-9,n
600,-7,n
200,-7,n
1400,-5,y
2000,-10,y
1400,3,n
2000,7,n
1600,6,n
1400,5,y
1000,0,y
1800,9,n
2000,1,y
400,-1,n
1000,4,n
1400,-3,y
1000,-4,n
400,-2,n
1400,9,n
600,-1,y
1600,7,n
200,2,n
1600,0,n
400,8,n
1200,4,n
2000,-10,y
1000,-3,y
1000,1,y
