1600,-2,y
400,-6,n
2000,-6,y
1800,5,y
1200,-3,n
1800,-8,n
600,-5,n
400,-4,n
800,-1,y
800,1,y
1400,-6,y
1000,2,n
600,-2,y
600,-6,n
600,2,y
1600,5,y
600,4,n
1600,-6,n
400,0,y
1600,8,n
1200,-9,n
800,4,n
400,5,n
200,4,n
600,5,n
200,-1,y
600,-7,n
400,3,n
1800,7,n
1200,1,y
800,-5,n
1000,-2,y
1400,-8,n
1600,9,n
200,-5,n
1800,1,y
1000,2,y
200,-8,n
2000,7,n
1200,4,y
1600,9,n
200,8,n
1200,0,y
1800,-2,y
2000,-10,y
1200,-7,n
1600,-7,n
800,-2,y
800,-4,n
1400,-2,y
